title,average Rating,num Votes
"Liar, Liar, Vampire",5.8,882
Living in Bondage: Breaking Free,5.8,77
Lizzie Borden Took an Ax,5.8,5248
Love Jacked,5.8,1805
Midnight at the Magnolia,5.8,4417
Monster Math Squad,5.8,35
Motichoor Chaknachoor,5.8,2529
Mr. Deeds,5.8,139191
Nacho Libre,5.8,83825
Nailed It! Germany,5.8,89
Nurses Who Kill,5.8,239
Off Course,5.8,4935
Once a Gangster,5.8,448
Operation Christmas Drop,5.8,9687
Overnight Republic,5.8,4240
Pacific Heat,5.8,1124
Railroad Tigers,5.8,4080
Resident Evil: Afterlife,5.8,165443
Rising High,5.8,4408
Skin Decision: Before and After,5.8,357
Speed Is My Need,5.8,52
Teenage Cocktail,5.8,5093
Tere Naal Love Ho Gaya,5.8,4188
The Babysitter: Killer Queen,5.8,31430
The Bad Education Movie,5.8,6745
The Blind Christ,5.8,258
The Break-Up,5.8,128296
The Bund,5.8,118
The CEO,5.8,111
"The Goods: Live Hard, Sell Hard",5.8,21132
The Little Hours,5.8,21375
The Plagues of Breslau,5.8,4426
The Price of Success,5.8,331
The Tribes of Palos Verdes,5.8,2371
The Walls of the Moon,5.8,367
Trash Fire,5.8,2990
Travel Mates 2,5.8,2943
Trespass Against Us,5.8,7864
Viswasapoorvam Mansoor,5.8,57
We're Lalaloopsy,5.8,28
What a Girl Wants,5.8,61125
What We Wanted,5.8,1555
Yanxi Palace: Princess Adventures,5.8,232
You've Got This,5.8,1111
Zoids Wild,5.8,18
07:19,5.9,611
10 jours en or,5.9,943
25 Kille,5.9,94
4L,5.9,2911
6 Balloons,5.9,3892
A Cinderella Story,5.9,83002
A Fall from Grace,5.9,13422
Alt-Right: Age of Rage,5.9,982
American Hangman,5.9,3338
Answer for Heaven,5.9,9
Autohead,5.9,373
Awake: The Million Dollar Game,5.9,686
Bathinda Express,5.9,10
Bennett's War,5.9,738
Braven,5.9,32570
Cam,5.9,28850
Candyflip,5.9,95
